im_version,im_rating,id,title,content,im_votesum,im_votecount,date,author_uri,author_name,link_attributes_related,link_attributes_href,content_attributes_term,content_attributes_label
1.2024.177,1,11439177993,Upload Limits,"They limited the features that used to be free, so now they’re conning you for your data and your training of their AI, asking for $20 a month for premium, which they don’t specify the limits of, and the AI will still be coached for corporate, manufactured answers from Wikipedia and other Official Sources. Also, your messages can violate their terms of service and be removed from your chat now! We have blatantly lost to big tech; a previous NSA director joined OpenAI’s safety and security committee this month—interpret that however you may.
Good luck to everyone out there! 
I’d personally remove this app from your phone, but spending half your life on screens can be fun too! To each other their own.
Cheers.",0,0,2024-06-29T21:43:39-07:00,https://itunes.apple.com/us/reviews/id1556201370,Ethan Hack,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,4,11439102490,Great ai,Great ai but could be improved It’s very stupid sometimes.,0,0,2024-06-29T21:10:31-07:00,https://itunes.apple.com/us/reviews/id1637902739,Well it’s a review,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438955758,I call it Smart rock,I love ChatGPT and it’s predecessor components dolly I use it every day. It’s a companion to learn the code of product that I care about. It is a creative assistant that gets me through rough iterations of ideas stories essays startups go to market plans everything and anything it is in leverage for my meme Ling. It makes me a better meme Lord and I think that we’re coming to an age when returning I should say meme Lord and social structure of useful memes that can be spread in adopted and therefore everybody comes wealthy. Everybody has abundance and get away from this post agricultural I control the water source kind of warlord that we’ve been living in with not enough innovation too much centralization not enough localism too much regulation and I’m just grateful that Sammon his team created such a useful tool.,0,0,2024-06-29T20:08:45-07:00,https://itunes.apple.com/us/reviews/id961815740,airparsa,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438741551,So awesome!,The best!,0,0,2024-06-29T18:42:39-07:00,https://itunes.apple.com/us/reviews/id363588473,Grant Lincoln,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438653518,GPT CHAT AI,It is amazing to be able to get the proper assistance from this app and with technology evolving the capabilities it can provide for you.,0,0,2024-06-29T18:06:49-07:00,https://itunes.apple.com/us/reviews/id1576382205,MrWClll,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438568760,Ratings of ChatGpt 3.5,Fantastic,0,0,2024-06-29T17:31:53-07:00,https://itunes.apple.com/us/reviews/id117331300,Future of AI,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438470237,Chat GBT continues to blow my mind:),Never stops amazing me how spot on and incisive (his/her) answers are. It saves me hours of time researching what! I can now get via chat gbt in seconds. Forgive the aforementioned gender reference but it seems to have become personalized almost as my first ai friend:),0,0,2024-06-29T16:49:49-07:00,https://itunes.apple.com/us/reviews/id178430511,annieandalexander,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438185676,❤️,I love this app the most. Please give the premium version free,0,0,2024-06-29T14:46:04-07:00,https://itunes.apple.com/us/reviews/id1672721830,Mahiraaaaa,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438144161,Love it,I love it!! It has been really helpful.,0,0,2024-06-29T14:28:48-07:00,https://itunes.apple.com/us/reviews/id640254944,ajsjei3jjsjsjehshb,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,5,11438100096,"Wonderful, amazing app overall","Overall, this is an amazing app! I think it is just wonderful. I would love to make this app my primary go to for searches and information. The things that are disappointing, although they do not impact my overall rating, are the following:
I do not like any of the voices available in voice mode. They really need to add some more. I understand why they took away the sky voice, but they can easily find others just as amiable.
I would be willing to pay for the plus version, but from what I can tell, it does not take away message caps. and uses up my message caps even to pursue a single line of query.
I wish they had a plan without message caps and more voices",0,0,2024-06-29T14:10:58-07:00,https://itunes.apple.com/us/reviews/id33282906,Happiness69,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
1.2024.177,1,11437801905,deception,"Вот ваш отзыв:

""ChatGPT's paid version is deceptive and fraudulent. They claim you'll have access, but your session can be abruptly cut off at any time, limiting interaction to roughly 30 minutes. I strongly advise against using the paid version as it operates on a dishonest money-grabbing scheme.""",0,0,2024-06-29T12:15:00-07:00,https://itunes.apple.com/us/reviews/id1373251114,Dancerking,related,https://itunes.apple.com/us/review?id=6448311069&type=Purple%20Software,Application,Application
